gene	079_warmM	082_warmM	086_warmM	090_warmM	097_warmM	098_warmM	080_warmF	089_warmF	091_warmF	096_warmF
ENSMUSG00000106365	5	13	6	6	7	6	2	2	8	5
ENSMUSG00000106362	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106363	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106360	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106361	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112864	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099916	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108602	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112867	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112860	0	3	0	1	0	0	0	0	3	2
ENSMUSG00000112861	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112862	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112863	0	4	0	1	1	0	1	1	1	3
ENSMUSG00000112868	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099914	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115376	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099915	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099913	2	9	3	5	4	0	2	3	6	2
ENSMUSG00000086628	226	332	195	208	247	216	168	269	296	238
ENSMUSG00000086629	20	44	11	30	22	17	19	19	35	20
ENSMUSG00000049191	15	41	21	26	15	18	20	25	43	29
ENSMUSG00000099910	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107870	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086620	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086621	0	1	0	0	1	2	1	0	0	0
ENSMUSG00000100407	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100406	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086624	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086625	0	2	0	3	2	0	0	2	0	0
ENSMUSG00000100403	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100402	1	2	2	0	0	1	0	0	0	0
ENSMUSG00000019952	240	298	135	223	170	139	174	218	251	225
ENSMUSG00000019951	1980	2112	1395	1745	1741	1652	1712	2038	2656	2162
ENSMUSG00000117333	23	27	6	17	24	19	16	9	19	12
ENSMUSG00000117332	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000117331	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117330	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117337	1	0	1	0	0	0	0	1	0	3
ENSMUSG00000117336	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117335	6	4	2	4	0	4	8	7	6	1
ENSMUSG00000117334	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053783	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000117338	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045165	9	9	3	8	16	8	5	14	13	9
ENSMUSG00000113542	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118175	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032999	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032998	436	617	350	433	495	483	357	398	487	362
ENSMUSG00000118176	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118177	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032997	54	67	43	49	34	25	32	64	51	50
ENSMUSG00000101943	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020329	770	1167	639	696	531	481	493	734	794	480
ENSMUSG00000020328	534	680	325	505	409	345	251	304	394	273
ENSMUSG00000103773	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063715	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063714	6	5	3	7	8	10	5	15	6	5
ENSMUSG00000027115	17	12	11	15	17	15	16	14	24	17
ENSMUSG00000020325	0	5	3	2	3	1	0	5	2	5
ENSMUSG00000070407	2206	2697	1442	1829	1372	1066	1594	1956	3431	1637
ENSMUSG00000020326	1079	1228	767	928	867	815	892	804	832	770
ENSMUSG00000048240	25	14	11	15	4	6	16	30	26	13
ENSMUSG00000113772	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000096263	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096265	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096264	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096269	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048249	1172	1765	935	1669	1206	1309	948	1052	1711	1156
ENSMUSG00000116549	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101752	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101753	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101750	0	2	1	2	0	1	0	3	0	0
ENSMUSG00000101751	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000101756	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101757	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101754	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101755	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101758	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101759	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091311	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000113052	1	8	4	3	2	0	2	1	2	6
ENSMUSG00000113053	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113050	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113051	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113056	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113057	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054258	2	10	2	3	1	6	2	2	6	4
ENSMUSG00000113055	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054256	0	12	3	10	1	1	4	5	5	2
ENSMUSG00000109240	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113058	1	0	1	3	0	0	0	0	1	1
ENSMUSG00000113059	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054252	734	1438	805	769	453	426	549	829	1126	614
ENSMUSG00000103771	6	7	2	1	0	0	0	1	1	1
ENSMUSG00000092522	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116542	1	2	0	2	0	0	0	1	0	0
ENSMUSG00000091312	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110853	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033644	4	3	6	28	8	4	6	10	13	2
ENSMUSG00000073771	19	53	10	29	14	22	20	29	31	41
ENSMUSG00000091313	1	4	0	1	3	3	0	3	0	2
ENSMUSG00000116544	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026248	652	749	363	555	360	270	406	467	570	386
ENSMUSG00000026249	80	96	40	31	60	50	16	11	11	10
ENSMUSG00000026245	1110	1276	677	881	841	617	551	600	955	476
ENSMUSG00000026246	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026247	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026240	230	345	169	281	189	167	151	248	244	204
ENSMUSG00000026241	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106473	0	0	1	0	0	0	1	5	13	4
ENSMUSG00000030592	0	5	0	0	2	0	3	0	2	1
ENSMUSG00000030591	2857	3703	1963	2581	2349	2339	1510	2032	2634	1886
ENSMUSG00000030590	38	57	45	65	33	47	26	67	70	36
ENSMUSG00000103165	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000062444	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030598	43	44	35	24	18	18	27	22	23	22
ENSMUSG00000092039	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034039	7	12	8	10	8	5	9	13	13	7
ENSMUSG00000034031	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034032	542	859	494	539	313	281	371	616	784	446
ENSMUSG00000034035	77	94	72	59	87	70	42	80	112	50
ENSMUSG00000034037	329	519	273	278	265	229	226	322	389	257
ENSMUSG00000074417	7	8	2	2	8	10	12	21	19	4
ENSMUSG00000074415	23	68	37	52	38	45	32	45	44	57
ENSMUSG00000074412	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103633	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000080517	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092036	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074418	1	0	0	1	0	1	1	1	0	1
ENSMUSG00000074419	9	8	7	7	7	3	2	10	6	12
ENSMUSG00000060969	13	12	9	7	10	1	1	1	3	0
ENSMUSG00000060962	1	0	1	0	0	0	0	3	0	0
ENSMUSG00000060961	3983	5374	3069	4212	2987	2729	4478	5880	4928	4936
ENSMUSG00000060967	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003573	20	36	22	21	14	21	19	35	20	15
ENSMUSG00000023143	394	563	327	387	223	227	272	422	395	366
ENSMUSG00000103632	2	4	1	7	6	6	2	4	5	10
ENSMUSG00000003575	233	444	243	277	217	224	203	406	413	270
ENSMUSG00000023147	109	157	70	87	54	54	72	105	113	64
ENSMUSG00000113925	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069713	4	2	3	10	3	5	2	3	3	4
ENSMUSG00000069712	0	1	0	0	1	0	1	1	0	3
ENSMUSG00000114335	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069717	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069718	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114333	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005804	788	864	468	688	509	451	480	612	759	637
ENSMUSG00000073198	40	34	15	49	63	76	28	16	28	52
ENSMUSG00000005800	4	6	3	8	10	4	4	1	3	8
ENSMUSG00000005803	5476	6370	4055	4981	4362	3551	3995	5406	5082	4861
ENSMUSG00000005802	105	97	67	87	41	31	71	69	77	52
ENSMUSG00000073197	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000031640	0	1	0	1	1	1	0	0	0	1
ENSMUSG00000031641	681	889	515	686	547	448	506	537	702	534
ENSMUSG00000031642	205	287	148	200	172	142	153	226	268	206
ENSMUSG00000089231	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031644	489	536	279	437	499	378	226	218	399	286
ENSMUSG00000031645	1770	3959	1331	3019	2120	1191	1043	1095	2599	1794
ENSMUSG00000031647	32	43	25	18	19	23	28	12	24	12
ENSMUSG00000049676	7	34	19	15	20	14	13	22	16	17
ENSMUSG00000105124	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049674	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049672	299	381	228	257	278	239	190	245	240	203
ENSMUSG00000089105	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049670	16	35	22	10	19	12	4	25	35	22
ENSMUSG00000089107	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103630	3	0	1	0	0	0	0	1	0	0
ENSMUSG00000089234	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089235	92	101	52	75	21	29	60	36	52	26
ENSMUSG00000026932	1016	1519	902	1091	624	531	596	1018	1338	914
ENSMUSG00000026933	400	615	325	381	323	364	238	308	354	319
ENSMUSG00000026930	38	58	41	44	23	31	22	66	83	53
ENSMUSG00000026931	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026936	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026937	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026934	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026938	268	448	301	338	244	206	234	306	376	214
ENSMUSG00000026939	331	363	254	243	220	163	162	197	252	229
ENSMUSG00000103637	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088279	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088278	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000034690	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000088270	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088273	2	3	2	5	0	0	1	6	2	1
ENSMUSG00000088275	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043733	2901	3675	1989	2548	1823	1665	1707	2237	2467	1823
ENSMUSG00000088276	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029227	1213	1337	736	918	958	971	819	854	1006	898
ENSMUSG00000108729	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029223	0	0	0	1	0	1	1	0	1	1
ENSMUSG00000022234	3549	4229	2151	3084	2706	2352	1947	2462	3405	2030
ENSMUSG00000076117	1	0	0	0	5	5	2	5	2	5
ENSMUSG00000022236	113	169	114	120	112	89	97	143	104	107
ENSMUSG00000076119	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076118	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113778	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000029229	471	518	332	474	409	322	313	384	498	443
ENSMUSG00000029228	22	46	23	32	32	18	24	38	55	32
ENSMUSG00000112086	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035342	238	485	282	292	138	112	173	327	429	262
ENSMUSG00000028575	1	3	0	3	3	1	4	1	7	0
ENSMUSG00000028576	112	130	62	86	141	97	78	51	67	72
ENSMUSG00000028577	2029	2258	1108	1768	1471	1285	1091	1118	1567	1250
ENSMUSG00000028571	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034968	4	8	3	0	1	1	2	2	3	0
ENSMUSG00000028573	2056	2625	1446	1948	1314	1344	1405	2017	2354	1658
ENSMUSG00000028578	138	164	84	108	111	83	71	74	84	70
ENSMUSG00000046523	2	3	0	3	0	0	0	0	1	0
ENSMUSG00000102473	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102470	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000102471	14	27	9	11	13	11	11	23	28	19
ENSMUSG00000102476	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000102474	0	0	1	0	0	0	1	2	0	0
ENSMUSG00000102475	1	1	1	0	0	2	0	2	1	2
ENSMUSG00000103634	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000073907	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102478	8	6	2	13	1	7	2	4	5	8
ENSMUSG00000102479	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114507	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061707	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077448	0	0	1	1	0	0	0	0	0	0
ENSMUSG00000077449	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077445	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077447	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077440	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077441	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077442	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061701	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077996	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006050	916	1396	764	933	810	723	564	685	955	612
ENSMUSG00000006057	3415	4798	2907	3015	2229	1812	1836	3194	4269	2948
ENSMUSG00000061702	5	11	5	9	6	3	4	8	6	12
ENSMUSG00000077990	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073906	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006058	855	1029	566	760	585	499	494	571	623	441
ENSMUSG00000114632	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077998	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042063	294	326	171	227	274	224	191	184	245	192
ENSMUSG00000042066	136	199	77	109	70	73	73	158	133	99
ENSMUSG00000042064	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007989	6	10	4	8	12	5	8	6	12	5
ENSMUSG00000007987	55	86	33	63	66	41	29	48	62	52
ENSMUSG00000032698	144	188	93	133	108	104	136	180	174	155
ENSMUSG00000032690	26	39	32	31	28	45	16	42	84	57
ENSMUSG00000032691	27	31	19	30	17	16	15	45	36	24
ENSMUSG00000107158	1	3	0	0	0	0	1	0	1	0
ENSMUSG00000044966	1	6	1	5	0	1	2	4	2	6
ENSMUSG00000044968	38	59	30	35	33	32	32	37	60	24
ENSMUSG00000111557	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115023	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087230	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087231	60	129	46	86	87	92	38	77	103	78
ENSMUSG00000087232	4	0	1	0	0	0	2	0	2	1
ENSMUSG00000087233	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087235	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000087236	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000045382	16	9	7	4	11	13	5	22	16	22
ENSMUSG00000065289	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045381	1	0	1	0	0	0	2	0	0	2
ENSMUSG00000114529	2	1	0	1	2	0	0	2	0	0
ENSMUSG00000114528	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114523	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114522	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114521	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111552	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114527	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114526	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114525	1	0	0	0	0	1	0	1	0	1
ENSMUSG00000114524	10	20	5	12	13	11	4	12	16	15
ENSMUSG00000107200	11	22	8	12	21	13	4	12	20	10
ENSMUSG00000032523	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000032525	1514	2781	1292	1597	1749	1480	916	887	1453	1053
ENSMUSG00000032526	485	687	379	511	332	311	256	333	441	416
ENSMUSG00000032527	4732	6226	3426	4322	3427	3224	2936	3875	4583	3430
ENSMUSG00000032528	1426	2087	1334	1459	1149	1207	1079	1659	2218	1449
ENSMUSG00000044387	2	0	0	0	1	2	0	0	1	1
ENSMUSG00000111558	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000058207	107936	191056	65803	131892	84224	68301	20849	25357	90153	54021
ENSMUSG00000058200	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079455	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000024306	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079457	9	21	14	16	7	16	6	18	15	17
ENSMUSG00000050035	0	1	1	0	0	0	0	0	0	2
ENSMUSG00000079451	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024302	8	7	4	6	15	9	8	7	14	9
ENSMUSG00000024301	10	19	10	19	12	11	10	26	16	24
ENSMUSG00000024300	66	133	48	76	53	55	59	96	97	89
ENSMUSG00000024309	303	487	223	357	156	173	192	261	286	145
ENSMUSG00000024308	1387	1937	1166	1415	794	790	1011	1798	1827	1300
ENSMUSG00000086541	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086540	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044039	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086542	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086545	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086544	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086547	0	0	1	1	0	0	0	0	0	0
ENSMUSG00000086546	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000044033	790	1253	832	1089	779	562	889	898	1250	1258
ENSMUSG00000086548	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000044030	409	535	332	348	197	215	337	431	373	257
ENSMUSG00000044037	981	1673	982	1178	751	723	467	838	1151	749
ENSMUSG00000106738	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044034	1	8	4	2	1	3	7	4	5	8
ENSMUSG00000001911	3510	5350	2737	3241	2203	2460	2122	2950	3512	2636
ENSMUSG00000001910	1458	1888	989	1067	960	832	847	1110	1160	876
ENSMUSG00000059552	478	754	427	534	416	401	360	598	726	400
ENSMUSG00000059554	423	698	331	546	494	434	322	412	531	400
ENSMUSG00000059555	133	207	95	127	109	72	118	202	188	146
ENSMUSG00000079608	3	5	7	4	9	3	3	2	8	7
ENSMUSG00000112058	1	3	0	3	0	0	0	1	3	1
ENSMUSG00000105063	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000024158	5859	8430	4165	5138	4298	3689	3080	4304	5832	2936
ENSMUSG00000050788	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041607	24	35	19	20	24	20	25	43	61	36
ENSMUSG00000041605	2	1	0	0	0	0	1	0	0	0
ENSMUSG00000041609	48	58	29	32	27	27	35	47	80	37
ENSMUSG00000041608	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000050786	122	166	96	144	83	83	67	95	102	87
ENSMUSG00000047604	73	102	47	49	26	39	30	35	40	21
ENSMUSG00000047606	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047603	138	203	97	134	95	137	100	115	140	101
ENSMUSG00000089684	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032281	6	13	5	3	1	4	11	4	9	5
ENSMUSG00000102664	3	14	11	5	1	0	2	1	5	2
ENSMUSG00000079602	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027654	3	4	4	3	0	0	2	2	0	7
ENSMUSG00000051786	409	675	404	436	267	273	290	408	441	274
ENSMUSG00000027656	9	15	2	4	7	2	5	12	23	5
ENSMUSG00000079603	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027650	437	597	346	383	414	408	327	434	447	365
ENSMUSG00000027651	879	1200	591	782	739	616	598	680	869	666
ENSMUSG00000027652	875	1213	630	892	727	647	586	705	992	734
ENSMUSG00000032285	35	45	24	30	41	42	16	22	17	17
ENSMUSG00000102243	3	5	2	4	2	2	2	0	5	1
ENSMUSG00000051788	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079606	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024155	366	427	232	493	488	393	286	257	402	423
ENSMUSG00000108723	1	3	1	1	1	0	0	0	0	1
ENSMUSG00000101877	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108725	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106737	1	2	0	1	0	2	0	1	1	0
ENSMUSG00000056069	30	35	26	35	27	25	20	36	55	30
ENSMUSG00000004360	2	0	0	0	0	0	1	0	0	0
ENSMUSG00000004366	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056061	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000004364	2366	2648	1541	1872	2229	1929	1624	1346	1683	1548
ENSMUSG00000108728	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000100134	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081960	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066037	1184	1589	814	956	895	784	678	816	1082	874
ENSMUSG00000066036	6126	11062	5461	7554	5484	5019	3833	7656	7354	5254
ENSMUSG00000066031	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066030	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095868	2	1	1	6	1	0	1	5	8	2
ENSMUSG00000095869	0	0	0	0	0	1	2	0	0	1
ENSMUSG00000081964	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095862	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057335	251	373	200	251	241	233	150	207	226	183
ENSMUSG00000057337	12	20	4	7	12	10	9	19	15	10
ENSMUSG00000095866	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000095867	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095864	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095865	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085166	0	1	0	2	0	0	0	0	0	0
ENSMUSG00000085167	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085165	0	1	0	2	0	0	0	0	1	0
ENSMUSG00000085162	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000098929	1	0	2	4	4	4	2	1	5	0
ENSMUSG00000085160	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085161	0	0	1	0	0	0	0	1	0	0
ENSMUSG00000098924	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098925	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098926	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000098920	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085168	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000085169	4	9	6	4	7	6	2	2	12	5
ENSMUSG00000046958	1	16	3	4	2	1	0	0	0	3
ENSMUSG00000046959	6414	8137	4558	5156	4317	4564	3018	4387	8053	4479
ENSMUSG00000046952	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000093169	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046957	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089661	0	2	2	0	0	0	0	0	0	0
ENSMUSG00000089663	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000089662	7	12	4	9	6	11	6	5	4	4
ENSMUSG00000089665	9	5	5	0	4	0	1	6	3	0
ENSMUSG00000089664	6	7	1	3	1	4	3	1	4	1
ENSMUSG00000089667	0	1	1	1	0	0	0	0	1	0
ENSMUSG00000089666	0	1	0	0	0	0	0	2	1	0
ENSMUSG00000089669	10	9	5	5	10	5	2	7	9	3
ENSMUSG00000082677	4	15	2	3	2	3	3	2	4	10
ENSMUSG00000082676	5	4	2	2	0	1	4	1	4	7
ENSMUSG00000082675	0	1	0	3	1	0	0	0	1	0
ENSMUSG00000082674	135	103	61	123	123	108	68	52	89	132
ENSMUSG00000082673	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082672	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082671	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082670	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088181	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082679	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082678	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000050810	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096175	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000050812	3266	4182	2130	3283	2533	2295	2052	2419	2955	2230
ENSMUSG00000050813	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065418	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000050815	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009418	209	356	171	158	167	123	131	248	328	220
ENSMUSG00000117822	103	111	53	76	123	114	48	72	133	58
ENSMUSG00000065414	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065415	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065416	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065417	0	0	0	0	0	0	1	0	3	2
ENSMUSG00000065410	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065411	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065412	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065413	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084789	0	3	1	1	0	0	0	1	1	3
ENSMUSG00000084788	10	52	16	11	7	14	4	8	5	20
ENSMUSG00000099304	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088185	12	19	17	23	5	8	10	21	24	17
ENSMUSG00000108189	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084781	21	44	18	23	23	18	13	37	31	24
ENSMUSG00000084780	0	4	0	2	0	0	0	1	0	0
ENSMUSG00000084783	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083376	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084785	0	0	0	0	0	0	0	0	1	0
