gene	078_coldM	083_coldM	088_coldM	093_coldM	095_coldM	099_coldM	081_coldF	084_coldF	085_coldF	087_coldF	092_coldF	094_coldF
ENSMUSG00000101680	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101681	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101682	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000091771	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101062	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049456	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000105304	5	2	7	6	7	4	8	6	6	7	7	2
ENSMUSG00000105307	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096154	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105301	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105300	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072791	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105302	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116976	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116977	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116974	1	0	2	0	3	0	0	0	2	0	0	0
ENSMUSG00000116975	0	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000105309	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105308	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116970	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116971	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030117	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000030116	3	0	0	3	4	1	1	2	2	0	0	2
ENSMUSG00000097022	1	0	1	3	1	0	1	0	2	1	1	0
ENSMUSG00000030114	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000037325	149	93	100	100	149	145	152	107	188	127	93	147
ENSMUSG00000097025	0	1	2	1	0	2	2	3	2	0	0	1
ENSMUSG00000030111	0	1	3	3	0	2	4	0	0	0	1	2
ENSMUSG00000037326	505	501	400	470	917	293	743	404	593	617	567	741
ENSMUSG00000097028	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097029	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020817	2783	1537	1624	1811	2627	2146	1941	1276	1815	1805	1776	1452
ENSMUSG00000020814	61	28	29	47	66	26	67	41	47	72	35	56
ENSMUSG00000112279	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000020812	12	13	14	12	21	12	24	18	22	13	16	21
ENSMUSG00000020811	9	10	7	7	16	6	10	9	11	7	2	14
ENSMUSG00000020810	117	85	84	76	102	89	142	54	125	109	75	97
ENSMUSG00000112275	1	0	0	0	2	4	1	1	0	4	0	1
ENSMUSG00000112274	4	0	0	3	3	2	0	3	3	0	0	1
ENSMUSG00000112277	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000112276	2	1	1	3	0	2	5	3	9	2	3	1
ENSMUSG00000027849	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027848	104	74	59	81	132	75	83	55	120	86	74	92
ENSMUSG00000112273	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020818	345	291	262	217	413	249	302	170	311	231	260	307
ENSMUSG00000076487	0	0	0	0	1	1	0	0	1	0	0	0
ENSMUSG00000076486	0	1	1	0	0	0	2	0	0	0	0	3
ENSMUSG00000076485	1	0	0	0	0	1	1	1	1	0	0	0
ENSMUSG00000076484	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076483	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076481	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076480	0	0	0	0	1	0	7	1	0	2	0	0
ENSMUSG00000031860	1	0	1	2	3	1	0	0	2	0	0	0
ENSMUSG00000031861	4	9	5	6	8	9	7	2	6	6	8	10
ENSMUSG00000031862	1503	1254	1047	1174	1790	938	1543	914	1459	1311	1107	1648
ENSMUSG00000031864	455	333	343	370	639	361	499	272	442	413	388	359
ENSMUSG00000031865	1247	917	1024	818	1265	935	1590	920	1425	1413	809	1245
ENSMUSG00000076489	0	0	0	1	0	1	1	0	0	1	0	0
ENSMUSG00000076488	0	0	1	3	0	0	0	0	1	1	0	0
ENSMUSG00000103426	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049916	0	0	0	2	1	0	0	0	0	0	0	1
ENSMUSG00000063052	379	192	261	244	326	285	326	225	330	318	270	290
ENSMUSG00000020205	336	297	1406	176	239	269	541	214	273	373	354	430
ENSMUSG00000031245	2272	1326	1355	977	1337	1893	1796	1193	1730	1696	1117	883
ENSMUSG00000031246	2036	1350	1436	1739	2277	1726	1960	1376	1979	1843	1965	1591
ENSMUSG00000090552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090555	33810	14277	15144	9747	11798	12478	8218	4887	6802	5330	5899	4127
ENSMUSG00000031241	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031242	771	439	539	572	789	594	755	426	638	634	637	620
ENSMUSG00000090556	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090559	6	5	1	6	2	0	8	2	2	2	2	5
ENSMUSG00000090558	0	0	0	0	0	0	1	0	0	0	1	1
ENSMUSG00000103424	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096341	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096346	0	0	0	0	0	2	4	0	1	0	1	1
ENSMUSG00000118047	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000115722	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000107673	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115720	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115721	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115726	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115727	0	1	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000115724	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000115725	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118538	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118539	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000115728	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115729	3	1	0	2	2	2	5	1	4	4	5	4
ENSMUSG00000107671	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103425	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111612	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111613	0	1	0	0	0	0	6	2	0	1	0	0
ENSMUSG00000102658	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039478	81	74	68	95	95	117	106	65	88	99	63	72
ENSMUSG00000111616	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043110	31	31	24	39	38	12	27	19	48	54	24	32
ENSMUSG00000111615	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039473	1456	1058	1045	977	1428	1096	1291	758	1352	1053	1137	1303
ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102650	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039470	43	21	17	17	25	28	18	10	14	20	16	11
ENSMUSG00000039477	1849	1807	1482	1344	2477	1186	2263	1129	1879	1666	1470	1971
ENSMUSG00000039476	0	0	0	1	2	0	0	0	1	0	0	0
ENSMUSG00000102654	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039474	309	326	249	228	452	194	399	261	347	395	240	344
ENSMUSG00000096349	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107675	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089857	61	57	49	48	79	59	76	41	63	76	66	68
ENSMUSG00000089854	0	0	0	0	0	1	2	1	0	0	0	2
ENSMUSG00000084498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107679	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093365	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089859	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000107678	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069390	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048498	89	83	89	97	150	82	124	76	154	118	108	128
ENSMUSG00000034744	267	149	168	155	230	165	266	154	217	252	151	214
ENSMUSG00000095370	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021038	319	280	295	264	381	299	436	236	402	322	288	329
ENSMUSG00000021039	485	369	365	335	428	404	506	286	466	431	340	325
ENSMUSG00000021036	581	492	351	401	600	410	566	408	537	553	477	535
ENSMUSG00000021037	1938	1366	981	1032	1443	911	1507	934	1252	1255	1405	1001
ENSMUSG00000048495	245	146	147	172	205	222	162	119	145	136	154	150
ENSMUSG00000021033	20250	12968	13461	12850	18740	16011	20044	12772	16923	16534	14013	16605
ENSMUSG00000048497	15	16	17	18	19	18	22	10	15	16	7	14
ENSMUSG00000029559	188	144	138	161	191	122	192	165	265	192	263	220
ENSMUSG00000032740	59	52	47	42	63	86	71	35	81	95	70	50
ENSMUSG00000029554	246	163	183	157	258	172	223	163	213	218	146	210
ENSMUSG00000029557	206	138	117	103	111	125	174	106	141	131	120	113
ENSMUSG00000029556	925	859	888	794	1062	658	1161	688	1143	1095	860	1160
ENSMUSG00000029551	95	65	49	70	92	42	139	76	98	87	123	127
ENSMUSG00000029550	500	314	399	403	553	362	428	298	510	458	325	549
ENSMUSG00000029553	41	47	28	48	64	59	57	40	68	54	68	43
ENSMUSG00000029552	21	10	16	20	32	13	15	10	11	13	15	21
ENSMUSG00000113850	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103421	54	48	42	55	90	45	77	50	77	92	84	96
ENSMUSG00000042642	1038	795	711	687	1004	607	1164	608	952	872	720	860
ENSMUSG00000045613	41	47	32	19	21	51	6	2	4	5	6	5
ENSMUSG00000012777	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000042647	270	212	202	211	258	150	418	245	309	312	330	352
ENSMUSG00000042644	72	64	60	73	77	40	104	53	87	104	65	90
ENSMUSG00000107729	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113851	0	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000112445	0	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000074248	0	1	0	0	0	0	3	1	0	0	0	0
ENSMUSG00000074247	461	377	353	360	532	316	551	320	476	463	393	470
ENSMUSG00000024125	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024124	1	0	0	0	0	1	0	0	0	1	1	1
ENSMUSG00000074243	2	2	4	6	3	2	1	3	1	4	3	4
ENSMUSG00000024122	2051	1407	1417	1502	2119	1383	1738	977	1757	1480	1411	1620
ENSMUSG00000024121	613	362	394	227	403	259	431	319	549	410	281	399
ENSMUSG00000074240	14	6	2	8	35	9	5	2	12	39	4	18
ENSMUSG00000113856	34	12	11	4	7	10	17	1	6	4	26	9
ENSMUSG00000044560	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068114	90	135	73	87	169	75	116	83	116	92	128	105
ENSMUSG00000044562	40	51	35	26	48	24	62	40	53	41	48	44
ENSMUSG00000068113	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044566	32	12	30	18	27	52	22	21	35	14	23	23
ENSMUSG00000099497	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099496	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042396	980	811	815	645	847	1019	932	589	1026	909	681	864
ENSMUSG00000042390	1182	910	807	921	1229	988	1190	606	1111	1005	751	984
ENSMUSG00000109707	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109706	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000109701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109700	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088898	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028207	1139	843	713	792	1152	864	1057	716	1046	1030	839	817
ENSMUSG00000107809	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088891	0	0	2	3	1	0	3	0	1	0	4	1
ENSMUSG00000088890	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088892	0	0	1	0	0	0	1	3	2	2	0	0
ENSMUSG00000088895	0	0	0	0	5	0	1	0	0	0	0	0
ENSMUSG00000088894	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088897	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088896	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078486	9	7	6	10	14	5	10	8	6	16	9	12
ENSMUSG00000113854	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081919	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081918	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081917	0	0	1	0	0	0	0	0	0	0	1	2
ENSMUSG00000081916	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110845	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081914	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081913	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081912	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081911	0	0	1	2	1	0	1	0	0	0	1	2
ENSMUSG00000081910	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103029	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109708	10	4	4	3	8	3	14	0	4	1	7	5
ENSMUSG00000117610	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117611	0	0	0	1	0	0	0	1	0	1	0	0
ENSMUSG00000117612	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117613	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117614	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000117615	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117616	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117617	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033831	100336	59765	64489	60503	81213	79262	73967	53487	78009	77656	59933	58854
ENSMUSG00000117619	1	2	2	2	6	1	9	0	1	1	4	6
ENSMUSG00000033834	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033837	0	2	2	0	4	1	2	1	2	1	1	1
ENSMUSG00000114930	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114931	0	0	0	0	2	0	0	0	0	0	2	1
ENSMUSG00000107805	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024789	870	538	667	648	792	865	774	530	855	756	627	660
ENSMUSG00000103624	0	5	0	0	5	1	3	1	6	4	6	5
ENSMUSG00000024782	8543	5378	5627	7087	10893	6335	8479	5573	7278	7546	7421	8786
ENSMUSG00000024781	9157	5051	5433	5861	8772	6324	7658	4528	6491	5881	5697	6955
ENSMUSG00000024780	2174	1718	1450	1589	2333	1702	2054	1188	1884	1621	1886	1474
ENSMUSG00000024787	287	232	209	242	327	192	353	225	344	305	230	311
ENSMUSG00000024786	0	0	1	0	0	0	0	0	0	1	1	0
ENSMUSG00000024785	2830	1866	1937	1820	1966	1804	2679	1762	2604	2295	1975	2404
ENSMUSG00000024784	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095526	2	1	2	3	5	0	4	2	1	2	8	1
ENSMUSG00000006906	398	253	314	340	544	345	419	214	366	327	324	432
ENSMUSG00000103625	2	0	0	2	0	2	0	0	5	4	1	1
ENSMUSG00000113763	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027478	162	171	135	124	218	127	211	120	183	169	85	134
ENSMUSG00000075119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114939	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027474	128	85	122	90	136	81	150	70	130	88	48	95
ENSMUSG00000027475	617	433	455	422	608	463	615	336	592	590	463	601
ENSMUSG00000075117	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075111	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075112	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075113	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027787	693	630	452	525	752	684	729	355	626	538	524	590
ENSMUSG00000027784	1170	1022	994	1145	1578	941	1244	855	1351	1311	1028	1221
ENSMUSG00000027782	2607	1466	1379	1167	1791	1583	1799	1107	1546	1602	1479	1078
ENSMUSG00000043932	4	2	3	2	1	5	7	2	5	6	0	2
ENSMUSG00000043931	6	6	2	1	2	8	9	8	7	3	3	10
ENSMUSG00000027788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110841	82	44	53	74	113	63	59	41	62	63	81	125
ENSMUSG00000058537	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024878	177	105	108	157	155	137	142	77	132	135	113	84
ENSMUSG00000024875	975	692	712	478	684	677	1015	528	774	781	587	882
ENSMUSG00000024871	12	10	11	8	24	11	20	3	22	17	9	12
ENSMUSG00000024870	3222	2271	2087	2103	3263	1537	3377	2192	3189	2789	2390	3428
ENSMUSG00000024873	2	7	6	0	14	3	7	5	9	3	2	15
ENSMUSG00000086493	3	1	3	0	4	0	2	0	0	2	1	0
ENSMUSG00000116560	0	0	0	0	2	2	5	0	2	3	2	3
ENSMUSG00000086491	0	2	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000086490	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086497	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086496	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000086495	0	0	0	0	0	0	2	0	0	2	3	0
ENSMUSG00000086494	37	33	28	33	41	35	49	16	34	35	39	41
ENSMUSG00000116569	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116568	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086499	6	4	6	5	17	4	14	5	21	11	21	11
ENSMUSG00000086498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051777	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113235	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087549	3	6	1	2	1	2	4	0	2	2	0	3
ENSMUSG00000087547	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087544	0	0	0	0	0	2	0	0	0	0	1	0
ENSMUSG00000087545	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087542	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000087543	34	31	34	33	42	29	47	27	48	41	36	54
ENSMUSG00000087540	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087541	4	3	2	2	4	2	2	3	10	7	2	3
ENSMUSG00000082325	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082324	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082327	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082326	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082321	10	4	1	0	4	2	1	1	4	6	1	8
ENSMUSG00000082320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082323	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082322	0	0	0	0	2	1	0	0	0	0	1	0
ENSMUSG00000118308	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082329	0	0	0	0	0	0	1	0	0	2	0	0
ENSMUSG00000082328	0	0	0	0	1	0	0	0	0	1	0	0
ENSMUSG00000110843	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080796	0	0	0	3	0	0	1	1	0	0	0	1
ENSMUSG00000080797	48	46	37	39	54	39	55	44	66	57	46	50
ENSMUSG00000080794	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080795	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080792	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080793	5	0	0	0	1	2	0	1	0	1	0	0
ENSMUSG00000080790	0	1	3	2	2	3	2	0	1	1	0	2
ENSMUSG00000080791	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000080798	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080799	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026788	1100	645	696	817	976	750	939	617	819	831	772	872
ENSMUSG00000026785	42	35	31	18	39	25	25	16	34	23	24	19
ENSMUSG00000026784	85	67	52	74	98	69	84	71	86	85	101	66
ENSMUSG00000026787	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000026786	84	47	61	88	108	78	99	63	141	83	58	98
ENSMUSG00000026781	12935	8281	9123	7987	9924	11801	9346	5349	8883	8855	6930	7352
ENSMUSG00000026782	266	231	265	276	380	334	375	198	368	307	242	239
ENSMUSG00000030870	1246	1060	694	739	1359	557	1233	559	906	848	1059	971
ENSMUSG00000030871	469	384	313	332	538	266	468	289	447	397	498	380
ENSMUSG00000030872	657	449	373	399	612	330	663	393	602	528	515	599
ENSMUSG00000030873	1	0	0	0	1	0	1	0	2	1	0	2
ENSMUSG00000030876	1028	612	611	545	817	719	840	513	775	704	564	597
ENSMUSG00000030877	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030878	24	25	23	24	22	16	23	13	17	18	34	26
ENSMUSG00000030879	1139	869	699	737	1229	780	1036	670	920	962	825	1032
ENSMUSG00000082499	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082498	1	0	0	1	0	0	1	0	1	1	0	2
ENSMUSG00000082497	0	1	4	1	5	0	1	1	3	1	0	1
ENSMUSG00000082496	0	0	0	4	0	0	0	0	0	0	0	1
ENSMUSG00000082495	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082494	2	0	0	2	1	1	1	1	0	0	0	1
ENSMUSG00000082492	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082491	5	5	2	3	3	2	5	1	1	6	4	2
ENSMUSG00000082490	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090160	0	0	1	1	0	0	1	0	0	0	1	0
ENSMUSG00000005763	3	4	2	5	4	2	8	5	3	3	8	5
ENSMUSG00000107608	10	8	6	5	4	2	6	3	10	9	10	7
ENSMUSG00000026437	1191	925	904	936	1526	918	1236	858	1166	1226	962	1327
ENSMUSG00000026436	1540	1128	1199	1202	1529	1175	1645	994	1749	1456	1167	1435
ENSMUSG00000026435	1870	1126	1248	1305	2225	869	1751	1264	1698	1598	1168	1600
ENSMUSG00000026434	1652	1158	930	1126	1565	825	1436	859	1484	1180	1088	1157
ENSMUSG00000026433	289	152	158	182	231	157	277	164	256	211	183	213
ENSMUSG00000026432	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026430	420	235	322	256	482	264	338	186	308	298	260	379
ENSMUSG00000026439	941	587	642	604	1042	749	821	472	733	678	629	796
ENSMUSG00000085568	4	5	2	4	6	3	8	7	5	2	4	7
ENSMUSG00000085569	25	15	22	21	39	20	35	29	32	44	29	24
ENSMUSG00000107609	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085562	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000085563	0	0	1	1	3	2	3	1	1	2	1	0
ENSMUSG00000085560	0	0	2	1	1	0	3	0	0	0	0	0
ENSMUSG00000085561	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085566	550	423	421	413	625	496	616	272	436	474	472	551
ENSMUSG00000118001	4	1	3	1	0	1	1	0	0	2	3	1
ENSMUSG00000085564	0	1	1	0	0	0	0	0	3	0	0	0
ENSMUSG00000085565	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094623	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094622	8	5	5	10	8	4	5	7	7	5	3	3
ENSMUSG00000094621	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004415	0	0	0	0	0	0	0	1	2	2	0	0
ENSMUSG00000094626	1	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000094625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094624	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094628	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110848	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089441	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089443	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089442	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089445	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089444	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089447	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089446	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026121	101	74	59	61	128	52	115	61	118	106	95	146
ENSMUSG00000081678	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000081679	1	3	1	1	2	5	4	5	2	6	2	0
ENSMUSG00000081672	0	0	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000081673	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047139	58	26	31	29	35	35	50	27	38	37	38	29
ENSMUSG00000081671	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081676	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081677	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081674	0	0	0	1	0	0	1	0	1	3	1	0
ENSMUSG00000081675	1	0	0	0	1	0	0	0	1	1	3	0
ENSMUSG00000026125	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071656	0	2	3	4	6	1	1	1	3	3	8	4
ENSMUSG00000111890	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026127	755	563	495	583	860	466	748	420	610	669	690	739
ENSMUSG00000088798	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000088799	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088796	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088797	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088794	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026126	13	7	11	9	5	14	20	9	12	14	6	10
ENSMUSG00000088792	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088793	0	0	0	0	1	0	0	0	1	1	0	0
ENSMUSG00000088790	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088791	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118224	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077535	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077537	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077538	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077539	0	0	0	0	0	0	0	0	0	0	0	0
